City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,College,64.8569,-147.8028,71.26,53,75,6.91,US,2021-06-06 23:36:50
68,Grand Gaube,-20.0064,57.6608,75.6,85,16,1.99,MU,2021-06-06 23:37:07
69,Neuquen,-38.9516,-68.0591,49.89,71,0,0.0,AR,2021-06-06 23:38:40
70,Geraldton,-28.7667,114.6,55.81,82,95,18.68,AU,2021-06-06 23:36:04
71,Bhachau,23.2833,70.35,84.09,70,5,13.09,IN,2021-06-06 23:38:41
72,Port Alfred,-33.5906,26.891,63.39,35,0,8.7,ZA,2021-06-06 23:34:50
73,Tuktoyaktuk,69.4541,-133.0374,35.6,75,90,13.8,CA,2021-06-06 23:35:21
74,Bluff,-46.6,168.3333,49.8,76,54,7.54,NZ,2021-06-06 23:30:14
75,Villazon,-22.0866,-65.5942,43.81,13,0,10.71,BO,2021-06-06 23:38:41
76,Amuntai,-2.4177,115.2494,75.67,96,100,1.48,ID,2021-06-06 23:38:42
77,Hobart,-42.8794,147.3294,59.22,71,75,1.99,AU,2021-06-06 23:33:43
78,Gizo,-8.103,156.8419,83.77,71,34,4.88,SB,2021-06-06 23:38:42
79,Lazaro Cardenas,17.9583,-102.2,86.04,65,90,12.35,MX,2021-06-06 23:35:46
80,Kapaa,22.0752,-159.319,82.72,71,40,7.0,US,2021-06-06 23:32:40
81,Bassum,52.85,8.7333,59.23,96,87,6.31,DE,2021-06-06 23:38:42
82,Port Elizabeth,-33.918,25.5701,46.69,66,0,4.61,ZA,2021-06-06 23:35:51
83,Argelia,2.2556,-77.2488,67.06,98,100,1.1,CO,2021-06-06 23:38:43
84,Masvingo,-20.0637,30.8277,49.95,94,77,8.37,ZW,2021-06-06 23:38:43
85,Fairbanks,64.8378,-147.7164,68.34,55,90,13.8,US,2021-06-06 23:35:36
86,Pangoa,-12.1167,-73.0,69.44,90,5,2.73,PE,2021-06-06 23:38:43
87,Zemio,5.0314,25.1361,67.53,92,100,2.33,CF,2021-06-06 23:35:34
88,Souillac,-20.5167,57.5167,75.58,78,40,11.7,MU,2021-06-06 23:35:17
89,Bandarbeyla,9.4942,50.8122,78.69,86,4,24.94,SO,2021-06-06 23:35:03
90,Yellowknife,62.456,-114.3525,50.56,57,75,5.99,CA,2021-06-06 23:36:47
91,Tasiilaq,65.6145,-37.6368,41.16,90,98,5.03,GL,2021-06-06 23:35:15
92,Laplace,30.0666,-90.4801,80.98,81,75,1.01,US,2021-06-06 23:34:26
93,Manali,13.1667,80.2667,85.06,80,91,9.98,IN,2021-06-06 23:38:44
94,Yuksekova,37.5736,44.2872,50.63,55,0,1.39,TR,2021-06-06 23:38:44
95,Cidreira,-30.1811,-50.2056,63.28,75,100,11.48,BR,2021-06-06 23:36:33
96,Senec,48.2195,17.4004,64.42,84,0,3.94,SK,2021-06-06 23:38:45
97,Karratha,-20.7377,116.8463,75.4,54,72,10.87,AU,2021-06-06 23:35:46
98,Port-Gentil,-0.7193,8.7815,78.76,89,75,10.36,GA,2021-06-06 23:36:40
99,Cabedelo,-6.9811,-34.8339,75.87,85,36,11.83,BR,2021-06-06 23:38:45
100,Ipixuna,-1.7625,-48.8043,80.55,82,92,4.34,BR,2021-06-06 23:38:46
101,Mahebourg,-20.4081,57.7,75.49,78,40,10.36,MU,2021-06-06 23:36:32
102,Barranca,-10.75,-77.7667,63.7,84,61,8.16,PE,2021-06-06 23:38:46
103,Victoria,22.2855,114.1577,82.38,82,52,1.99,HK,2021-06-06 23:35:08
104,Hasaki,35.7333,140.8333,72.0,83,100,0.69,JP,2021-06-06 23:33:28
105,Muroto,33.2833,134.15,75.24,65,100,4.0,JP,2021-06-06 23:38:47
106,Saskylakh,71.9167,114.0833,40.37,52,81,5.26,RU,2021-06-06 23:34:56
107,Nikolskoye,59.7035,30.7861,58.89,87,72,3.18,RU,2021-06-06 23:35:28
108,Bengkulu,-3.8004,102.2655,74.23,88,23,4.36,ID,2021-06-06 23:35:08
109,Tautira,-17.7333,-149.15,86.02,72,43,11.39,PF,2021-06-06 23:35:23
110,Bambous Virieux,-20.3428,57.7575,75.45,78,40,14.63,MU,2021-06-06 23:36:03
111,Bulgan,48.8125,103.5347,39.02,92,100,8.97,MN,2021-06-06 23:38:47
112,Skibbereen,51.55,-9.2667,49.8,83,100,5.77,IE,2021-06-06 23:38:47
113,Mattru,7.6244,-11.8332,76.01,97,88,3.04,SL,2021-06-06 23:38:48
114,Aloleng,16.1307,119.7824,83.75,76,99,9.31,PH,2021-06-06 23:38:48
115,Kargasok,59.0556,80.8572,47.8,87,100,10.18,RU,2021-06-06 23:35:40
116,Tiksi,71.6872,128.8694,42.89,67,100,2.48,RU,2021-06-06 23:36:16
117,Larsnes,62.2028,5.5773,55.6,93,5,3.4,NO,2021-06-06 23:38:49
118,Bredasdorp,-34.5322,20.0403,58.32,41,5,7.34,ZA,2021-06-06 23:34:46
119,Pisco,-13.7,-76.2167,64.45,77,0,8.05,PE,2021-06-06 23:34:55
120,Cape Town,-33.9258,18.4232,71.11,26,0,14.23,ZA,2021-06-06 23:36:46
121,Mustafakemalpasa,40.0353,28.4117,64.11,49,17,3.4,TR,2021-06-06 23:38:49
122,Provideniya,64.3833,-173.3,42.91,61,75,4.47,RU,2021-06-06 23:35:10
123,Chuy,-33.6971,-53.4616,50.31,79,70,6.29,UY,2021-06-06 23:34:45
124,Atuona,-9.8,-139.0333,80.46,62,52,7.2,PF,2021-06-06 23:35:10
125,Nangomba,-10.9,38.5,63.21,72,0,4.38,TZ,2021-06-06 23:38:50
126,Atar,20.5169,-13.0499,93.85,15,7,19.1,MR,2021-06-06 23:36:09
127,Kattivakkam,13.2167,80.3167,85.06,80,90,10.71,IN,2021-06-06 23:38:50
128,Rivne,50.6231,26.2274,56.84,92,53,6.96,UA,2021-06-06 23:38:50
129,Batticaloa,7.7102,81.6924,80.33,76,94,2.77,LK,2021-06-06 23:36:47
130,Coihaique,-45.5752,-72.0662,44.55,81,75,6.91,CL,2021-06-06 23:36:21
131,Leshukonskoye,64.8989,45.7622,36.81,75,38,6.71,RU,2021-06-06 23:37:02
132,Roros,62.5747,11.3842,49.84,93,90,4.61,NO,2021-06-06 23:38:51
133,Qaanaaq,77.484,-69.3632,39.69,76,64,5.91,GL,2021-06-06 23:35:34
134,Albany,42.6001,-73.9662,88.45,62,41,3.71,US,2021-06-06 23:38:51
135,Ziezmariai,54.8,24.45,62.15,90,7,5.44,LT,2021-06-06 23:38:52
136,Bairiki,1.3292,172.9752,86.0,70,75,9.91,KI,2021-06-06 23:38:52
137,Kaeo,-35.1,173.7833,60.33,96,100,16.42,NZ,2021-06-06 23:38:52
138,Carballo,43.213,-8.691,58.87,91,76,4.27,ES,2021-06-06 23:38:53
139,Merritt,50.1123,-120.7942,58.03,46,99,6.91,CA,2021-06-06 23:38:53
140,Avarua,-21.2078,-159.775,75.25,64,75,4.61,CK,2021-06-06 23:32:42
141,Buala,-8.145,159.5921,84.67,72,43,9.44,SB,2021-06-06 23:38:53
142,Bonthe,7.5264,-12.505,80.13,87,100,9.37,SL,2021-06-06 23:34:46
143,Beyneu,45.3167,55.2,65.17,51,1,9.66,KZ,2021-06-06 23:38:54
144,Mehamn,71.0357,27.8492,40.01,69,4,3.06,NO,2021-06-06 23:35:04
145,La Maddalena,41.2142,9.4083,66.25,88,8,18.68,IT,2021-06-06 23:38:54
146,Olonets,60.9847,32.9698,54.39,90,75,6.6,RU,2021-06-06 23:38:54
147,Ovalle,-30.5983,-71.2003,60.37,69,50,2.46,CL,2021-06-06 23:38:55
148,Nanortalik,60.1432,-45.2371,43.5,77,100,12.86,GL,2021-06-06 23:33:00
149,Ludvika,60.1496,15.1878,60.6,70,87,3.4,SE,2021-06-06 23:38:55
150,Capim Grosso,-11.3811,-40.0128,68.47,89,42,8.19,BR,2021-06-06 23:38:55
151,Northam,51.0333,-4.2167,55.29,94,24,4.72,GB,2021-06-06 23:38:56
152,Kruisfontein,-34.0033,24.7314,55.62,24,2,8.05,ZA,2021-06-06 23:35:39
153,Blackwater,-23.5833,148.8833,66.02,46,0,7.45,AU,2021-06-06 23:38:56
